timestamp,x,y,theta,x_min,x_max,y_min,y_max,dist_to_wall,decision_v,decision_w
1777456068.1496713,285.53,126.09,-1.238,-2.47,423.28,-50.19,148.15,186.514,8.0,0.0
1777456072.238217,288.84,78.15,0.991,-2.47,440.11,-50.19,172.92,113.283,8.0,0.0
1777456072.2385216,288.84,78.15,0.991,-2.47,440.11,-50.19,172.92,113.283,8.0,0.0
1777456072.2440643,288.84,78.15,0.991,-2.47,440.11,-50.19,172.92,113.283,8.0,0.0
1777456072.2441738,288.84,78.15,0.991,-2.47,440.11,-50.19,172.92,113.283,8.0,0.0
1777456072.828685,297.7,74.68,1.297,-2.47,440.11,-50.19,172.92,102.041,8.0,0.0
1777456072.828816,297.7,74.68,1.297,-2.47,440.11,-50.19,172.92,102.041,8.0,0.0
1777456072.8337173,297.7,74.68,1.297,-2.47,440.11,-50.19,172.92,102.041,8.0,0.0
1777456072.8338354,297.7,74.68,1.297,-2.47,440.11,-50.19,172.92,102.041,8.0,0.0
1777456073.4098606,306.88,73.66,1.605,-2.47,440.11,-50.19,172.92,99.318,8.0,0.0
1777456073.410278,306.88,73.66,1.605,-2.47,440.11,-50.19,172.92,99.318,8.0,0.0
1777456073.4156723,306.88,73.66,1.605,-2.47,440.11,-50.19,172.92,99.318,8.0,0.0
1777456073.4157796,306.88,73.66,1.605,-2.47,440.11,-50.19,172.92,99.318,8.0,0.0
1777456074.590646,324.38,79.26,2.113,-2.47,440.11,-50.19,172.92,109.343,8.0,0.0
1777456074.5907872,324.38,79.26,2.113,-2.47,440.11,-50.19,172.92,109.343,8.0,0.0
1777456074.5965326,324.38,79.26,2.113,-2.47,440.11,-50.19,172.92,109.343,8.0,0.0
1777456074.5967362,324.38,79.26,2.113,-2.47,440.11,-50.19,172.92,109.343,8.0,0.0
1777456075.173789,330.07,85.53,2.449,-2.47,423.28,-50.19,148.15,98.068,8.0,0.0
1777456075.173992,330.07,85.53,2.449,-2.47,423.28,-50.19,148.15,98.068,8.0,0.0
1777456075.1799984,330.07,85.53,2.449,-2.47,423.28,-50.19,148.15,98.068,8.0,0.0
1777456075.1802022,330.07,85.53,2.449,-2.47,423.28,-50.19,148.15,98.068,8.0,0.0
1777456075.752603,333.05,93.58,2.699,-2.47,423.28,-50.19,148.15,127.416,8.0,0.0
1777456075.7528121,333.05,93.58,2.699,-2.47,423.28,-50.19,148.15,127.416,8.0,0.0
1777456075.757919,333.05,93.58,2.699,-2.47,423.28,-50.19,148.15,127.416,8.0,0.0
1777456075.7581792,333.05,93.58,2.699,-2.47,423.28,-50.19,148.15,127.416,8.0,0.0
1777456076.3375235,332.94,102.74,3.022,-2.47,423.28,-50.19,148.15,337.823,8.0,0.0
1777456076.3377707,332.94,102.74,3.022,-2.47,423.28,-50.19,148.15,337.823,8.0,0.0
1777456076.3425915,332.94,102.74,3.022,-2.47,423.28,-50.19,148.15,337.823,8.0,0.0
1777456076.3427787,332.94,102.74,3.022,-2.47,423.28,-50.19,148.15,337.823,8.0,0.0
1777456079.2644386,302.13,131.06,-1.434,-2.47,423.28,-50.19,148.15,182.959,8.0,0.0
1777456079.2650018,302.13,131.06,-1.434,-2.47,423.28,-50.19,148.15,182.959,8.0,0.0
1777456079.2726262,302.13,131.06,-1.434,-2.47,423.28,-50.19,148.15,182.959,8.0,0.0
1777456079.2729738,302.13,131.06,-1.434,-2.47,423.28,-50.19,148.15,182.959,8.0,0.0
1777456079.8515527,294.16,128.76,-1.067,-2.47,423.28,-50.19,148.15,204.338,8.0,0.0
