timestamp,x,y,yaw
1715380580.8761287,0.831206,1.498039,-1.022094
1715380580.8775704,0.831206,1.498039,-1.022094
1715380580.925643,0.828023,1.493582,-1.022665
1715380580.9263637,0.828023,1.493582,-1.022665
1715380581.007523,0.831407,1.499067,-1.028005
1715380581.0082462,0.831407,1.499067,-1.028005
1715380581.043828,0.832607,1.500233,-1.028486
1715380581.0445323,0.832607,1.500233,-1.028486
1715380581.077814,0.848362,1.516760,-1.027704
1715380581.0788393,0.848362,1.516760,-1.027704
1715380581.1255774,0.834486,1.501301,-1.025939
1715380581.1263366,0.834486,1.501301,-1.025939
1715380581.1757703,0.840028,1.506260,-1.024298
1715380581.176588,0.840028,1.506260,-1.024298
1715380581.2256935,0.827243,1.490479,-1.019250
1715380581.2264638,0.827243,1.490479,-1.019250
1715380581.27567,0.838353,1.499077,-1.010613
1715380581.2832234,0.838353,1.499077,-1.010613
1715380581.3439915,0.823388,1.469938,-0.935168
1715380581.345076,0.823388,1.469938,-0.935168
1715380581.375778,0.833722,1.470506,-0.918175
1715380581.3768628,0.833722,1.470506,-0.918175
1715380581.4260447,0.806644,1.429689,-0.915549
1715380581.427114,0.806644,1.429689,-0.915549
1715380581.4760315,0.800345,1.398839,-0.918873
1715380581.4772096,0.800345,1.398839,-0.918873
1715380581.676112,0.741397,1.252163,-0.925013
1715380581.6772375,0.741397,1.252163,-0.925013
1715380581.7077415,0.734000,1.230529,-0.934944
1715380581.708481,0.734000,1.230529,-0.934944
1715380581.7757816,0.755470,1.232886,-0.986288
1715380581.776656,0.755470,1.232886,-0.986288
1715380581.82497,0.765753,1.235028,-1.029129
1715380581.8257709,0.765753,1.235028,-1.029129
1715380581.907821,0.779018,1.225549,-1.068753
1715380581.909362,0.779018,1.225549,-1.068753
1715380581.9432433,0.787922,1.228777,-1.058767
1715380581.9439926,0.787922,1.228777,-1.058767
1715380581.9754827,0.795199,1.231052,-1.098596
1715380581.97621,0.795199,1.231052,-1.098596
1715380582.5078635,0.812227,1.246802,-1.129032
1715380582.508601,0.812227,1.246802,-1.129032
1715380582.5435998,0.815964,1.251422,-1.153223
1715380582.5442889,0.815964,1.251422,-1.153223
1715380582.575687,0.810475,1.245548,-1.173671
1715380582.5764062,0.810475,1.245548,-1.173671
1715380582.607667,0.817582,1.253361,-1.189038
1715380582.610697,0.817582,1.253361,-1.189038
1715380582.6579087,0.823043,1.259659,-1.200757
